,id,prices,market_caps,total_volumes
74,fantom,"[1623024000000, 0.34054705318161776]","[1623024000000, 862691593.9071357]","[1623024000000, 74025936.36059664]"
75,fantom,"[1623110400000, 0.298133072315355]","[1623110400000, 768490303.639613]","[1623110400000, 90199095.28565033]"
76,fantom,"[1623196800000, 0.2942083441672516]","[1623196800000, 750455477.5387343]","[1623196800000, 127536957.87200637]"
77,fantom,"[1623283200000, 0.30673407951829057]","[1623283200000, 779018790.0454874]","[1623283200000, 103416345.39479941]"
78,fantom,"[1623369600000, 0.28077934405088756]","[1623369600000, 716684159.1656424]","[1623369600000, 77547388.93758824]"
79,fantom,"[1623456000000, 0.252748321412342]","[1623456000000, 641843237.5552572]","[1623456000000, 65684872.05034362]"
80,fantom,"[1623542400000, 0.2406279613758622]","[1623542400000, 617967197.7408689]","[1623542400000, 73411650.72965498]"
81,fantom,"[1623628800000, 0.2806694180813845]","[1623628800000, 710268477.5071099]","[1623628800000, 82167344.4564678]"
82,fantom,"[1623715200000, 0.3002381505567905]","[1623715200000, 761973364.399823]","[1623715200000, 105822290.48714143]"
83,fantom,"[1623801600000, 0.2909896049250216]","[1623801600000, 741660454.8430282]","[1623801600000, 83081679.93870418]"
84,fantom,"[1623888000000, 0.27949905409824166]","[1623888000000, 707741004.9515963]","[1623888000000, 74193304.20496373]"
85,fantom,"[1623974400000, 0.31915836531561237]","[1623974400000, 807220380.4484712]","[1623974400000, 136917938.71539748]"
86,fantom,"[1624060800000, 0.2953598846685493]","[1624060800000, 752798586.0694907]","[1624060800000, 155646986.36595628]"
87,fantom,"[1624147200000, 0.30962934878333526]","[1624147200000, 788270518.0216765]","[1624147200000, 106720603.26669416]"
88,fantom,"[1624233600000, 0.3101340804780384]","[1624233600000, 787855407.7983671]","[1624233600000, 101942130.14707363]"
89,fantom,"[1624320000000, 0.23515752454091524]","[1624320000000, 605569530.6683128]","[1624320000000, 132720940.81172056]"
90,fantom,"[1624406400000, 0.21561840662279438]","[1624406400000, 547416989.4929441]","[1624406400000, 151565104.81582707]"
91,fantom,"[1624492800000, 0.24655032088246284]","[1624492800000, 627558185.8145531]","[1624492800000, 98459204.07246715]"
92,fantom,"[1624579200000, 0.24106933532682423]","[1624579200000, 612354745.9481854]","[1624579200000, 64600037.078937046]"
0,harmony,"[1616630400000, 0.1936048584609472]","[1616630400000, 1791171392.692416]","[1616630400000, 653759943.0634373]"
1,harmony,"[1616716800000, 0.17925840317184275]","[1616716800000, 1666626484.708314]","[1616716800000, 514703622.3991672]"
2,harmony,"[1616803200000, 0.17928902122132562]","[1616803200000, 1658155992.8824306]","[1616803200000, 284067757.1454901]"
3,harmony,"[1616889600000, 0.16618628797335624]","[1616889600000, 1546009228.7174256]","[1616889600000, 221348744.47836673]"
